User,Community
,0
sandra.mccubbin,0
peter.anderson,0
dale.rasmussen,0
jeffrey.snyder,0
esebton,0
sheri.cromwell,0
nkelley,0
dan.dietrich,0
mike.wellings,0
daren.farmer,0
scott.miller,0
rstephens,0
janette.elbertson,0
anneleuthold,0
cchao,0
laura.luce,0
jennifer.shipos,0
max.yzaguirre,0
sturmt,0
nate.ellis,0
bob.crane,0
elyse.kalmans,0
david.stadnick,0
cstrauss,0
devanoski,0
mary.gray,0
bill.kyle,0
eric.linder,0
lblair,0
chad.landry,0
tom.delaney,0
mike.fultz,0
rudy.acevedo,0
amosher,0
jeremy.wong,0
christy.lobusch,0
matthew.berry,0
begreen,0
lindsay.renaud,0
joe.wright,0
charles.ward,0
merlinm,0
barbara.lewis,0
rita.wynne,0
piropos,0
david.dronet,0
foster.smith,0
sproctor,0
jrnelson,0
andria.stevens,0
sarah.palmer,0
shahnaz.lakho,0
jeff.harbert,0
orotres,0
mark.lindsey,0
amozes,0
'leppard,0
stelzer,0
Enron Employees Domestic,0
chris.hilgert,0
stephanie.panus,0
debner,0
mary.solmonson,0
egonzalez,0
mcgovernw,0
patrice.mims,0
pete.mccormick,0
susan.bailey,0
407982.126932221.2,0
christopher.calger,0
kerb,0
rae.meadows,0
conway77,0
richard.elwood,0
victoria.versen,0
william.keeney,0
w..ueckert,0
david.wise,0
airam.arteaga,0
bill.gathmann,0
phillip.allen,0
brenda.flores-cuellar,0
emilio.vicens,0
noreply,0
andrews,0
lisa.gillette,0
darci.gustafson,0
scott.goodell,0
alex.huang,0
whaffner,0
norma.villarreal,0
jshankm,0
brant.reves,0
tobin.carlson,0
fernley.dyson,0
martin.kovacs,0
will.smith,0
mark.koenig,0
mytractor,0
ggreen2,0
craig.dean,0
john.viverito,0
peggy.hedstrom,0
smester,0
a..garcia,0
nicole.palczer,0
enron_update,0
ronlrun,0
richard.tomaski,0
twanda.sweet,0
alma.martinez,0
gloria.ogenyi,0
donna.lowry,0
June1789,0
joe.hall,0
daren.j.farmer,0
members,0
shanna.husser,0
biliana.pehlivanova,0
cecilia.rodriguez,0
tom.briggs,0
United Way EWS Business Groups- EWS Legal,0
sarah.novosel,0
tracy.foy,0
mark.haedicke,0
ppipitone,0
alicia.lenderman,0
douglas.parsons,0
daniel.allegretti,0
eric.gillaspie,0
gwhipple,0
ben.pacewic,0
liz.taylor,0
awais.omar,0
ez,0
howard.comet,0
marla.thompson,0
michael.terraso,0
